id,plu,category,commodity,variety,size,botanical,aka
373,3373,Fruits,ORANGES,Navelina (incl. Newhall),All Sizes,Citrus spp.,
374,3374,Fruits,ORANGES,Without postharvest treatment,All Sizes,Citrus spp.,
375,3375,Fruits,PEACHES,de Vigne & Sanguine (Red Flesh),All Sizes,Prunus persica,
376,3376,Fruits,PEARS,Alexander Lucas,All Sizes,Pyrus spp.,
377,3377,Fruits,PEARS,Louise Bonne,All Sizes,Pyrus spp.,
378,3378,Fruits,PEARS,Santa Maria,All Sizes,Pyrus spp.,
379,3379,Fruits,PINEAPPLE,Mini,All Sizes,Ananas comosus,
380,3380,Fruits,PINEAPPLE,Perola,All Sizes,Ananas comosus,
381,3381,Fruits,SOURSOP,,All Sizes,Annona muricata,
382,3382,Fruits,SUGAR APPLE,,All Sizes,Annona squamosa,
383,3383,Fruits,TANGERINES/MANDARINS,Clementine,Small,Citrus reticulata,
384,3384,Fruits,TANGERINES/MANDARINS,Clementine,Medium,Citrus reticulata,
385,3385,Fruits,TANGERINES/MANDARINS,Clementine,Large,Citrus reticulata,
386,3386,Fruits,TANGERINES/MANDARINS,Clementine (With leaves attached),All Sizes,Citrus reticulata,
387,3387,Fruits,TANGERINES/MANDARINS,Clementine (Without p/harvest treatment),All Sizes,Citrus reticulata,
388,3388,Fruits,TANGERINES/MANDARINS,Satsuma -Clauselina,All Sizes,Citrus unshiu,
389,3389,Fruits,TANGERINES/MANDARINS,Satsuma,All Sizes,Citrus unshiu,
390,3390,Vegetables,ARRACACH,,All Sizes,Arracacia xanthorrhiza,
391,3391,Vegetables,ARTICHOKES,Rouge Salambo (Red),All Sizes,Cynara scolymus,
392,3392,Vegetables,ASPARAGUS,Green - Bunch,All Sizes,Asparagus officinalis,
393,3393,Vegetables,ASPARAGUS,White - Bunch,All Sizes,Asparagus officinalis,
394,3394,Vegetables,ASPARAGUS,Purple - Bunch,All Sizes,Asparagus officinalis,
395,3395,Vegetables,BELGIAN ENDIVE (WITLOOF CHICORY),Red,All Sizes,Cichorium intybus,
396,3396,Vegetables,CABBAGE,"Savoy, Red",All Sizes,Brassica oleracea,
397,3397,Vegetables,CABBAGE,Summer Cabbage - Pointed type,All Sizes,Brassica oleracea,
398,3398,Vegetables,CHICKPEAS,Chickpeas/Garbanzo,All Sizes,Cicer arientinum,
399,3399,Vegetables,GARLIC,Regular - Fresh/Semi-dried with leaves attached,All Sizes,Allium sativum,
400,3400,Vegetables,GARLIC,Regular - Smoked,All Sizes,Allium sativum,
401,3401,Vegetables,GARLIC,One-clove types,All Sizes,Allium sativum,
402,3402,Vegetables,LEEKS,Regular - Bunch,All Sizes,Allium ampeloprasum,
403,3403,Vegetables,LEEKS,Baby - Bunch,All Sizes,Allium ampeloprasum,
404,3404,Vegetables,MUSHROOMS,Cep,All Sizes,Bolelus edulis,
405,3405,Vegetables,MUSHROOMS,Fairy Ring Champignon,All Sizes,Marasmius oreades,
406,3406,Vegetables,MUSHROOMS,Grey - Tricholoma,All Sizes,Tricholoma terreum,
407,3407,Vegetables,MUSHROOMS,Grisette,All Sizes,Amanita vaginata,
408,3408,Vegetables,MUSHROOMS,Horn of Plenty/Black Trumpet,All Sizes,Agaricus bisporus,
409,3409,Vegetables,MUSHROOMS,Pioppino,All Sizes,Agaricus bisporus,
410,3410,Vegetables,MUSHROOMS,Saffron Milk-Cap,All Sizes,Lactarius deliciosus,
